method_id,python_class,current_status,catalog_status,required_before_catalog,expected_abi_symbol_prefix,notes
aom_pop.structural_policy,AOMStructuralPolicy,python_reference,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,n4m_aom_structural_policy_,Source-free feature-count structural route; metadata audit fields must not affect route.
aom_pop.structural_policy_pgt1200_admissions,AOMStructuralPolicyWithPgt1200Admissions,python_reference,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,n4m_aom_structural_policy_,Preset enabling train-only high-p admission route.
aom_pop.structural_policy_p700_protocol_unified,AOMStructuralPolicyWithP700ProtocolUnified,python_reference,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,n4m_aom_structural_policy_,Preset enabling source-free p<=700 protocol route.
aom_pop.structural_policy_p700_block_local,AOMStructuralPolicyWithP700BlockLocalAdmission,python_reference,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,n4m_aom_structural_policy_,Source-free replacement for the legacy Beer-named route; do not expose Beer/source name.
aom_pop.endpoint_margin_stability_gate,AOMEndpointMarginStabilityGate,python_reference,pre_abi_do_not_add_to_catalog,native ABI CV/OOF decision report surface,n4m_aom_endpoint_stability_,Train-only contiguous/shuffled CV agreement gate with stack fallback.
aom_pop.midp_endpoint_stack,AOMMidPEndpointStack,python_reference,pre_abi_do_not_add_to_catalog,native ABI OOF stack/report/predict surface,n4m_aom_midp_endpoint_stack_,Train-OOF pairwise convex endpoint stack; metadata audit fields must not affect selected members.
aom_pop.control_selector,AOMControlSelector,python_reference,pre_abi_do_not_add_to_catalog,native ABI selected-chain/report/predict surface,n4m_aom_control_selector_,Train-CV chain/head selector; current Python reference supports Ridge and PLS heads.
aom_pop.preprocessing_chain,AOMPreprocessingChain,python_reference,pre_abi_do_not_add_to_catalog,native ABI preprocessing-chain fit/transform/report surface,n4m_aom_preprocessing_chain_,Fold-safe sequential preprocessing chain used by robust HPO banks.
aom_pop.robust_hpo_regressor,AOMRobustHPORegressor,python_reference,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,n4m_aom_robust_hpo_,Configurable source-free end-user AOM robust-HPO regressor over generated or caller-supplied banks.
aom_pop.robust_hpo_compact,AOMRobustHPOCompact,python_reference,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,n4m_aom_robust_hpo_,Fast compact end-user preset over the recurring AOM preprocessing families.
aom_pop.robust_hpo_wide,AOMRobustHPOWide,python_reference,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,n4m_aom_robust_hpo_,Wide lab-style preset for reproducing broad preprocessing diversity; benchmark before product default.
aom_pop.truebank_endpoint_portfolio,AOMTrueBankEndpointPortfolio,python_reference,pre_abi_do_not_add_to_catalog,native ABI endpoint portfolio/report/predict surface,n4m_aom_truebank_endpoint_portfolio_,Guarded train-CV true-bank endpoint portfolio using mean plus stability penalty; no source/dataset identity route.
aom_pop.fallback_blend_gate,AOMFallbackBlendGate,python_reference,pre_abi_do_not_add_to_catalog,native ABI OOF blend gate/report/predict surface,n4m_aom_fallback_blend_gate_,Optional conservative train-OOF blend gate; fallback base estimator is used unless relative OOF gain passes the threshold.
